Feature,Claude Agent SDK,Claude CLI,GLM (Zhipu),OpenAI Agents SDK
Agent loop,Yes (query()),Yes (built-in),Yes (via z.ai: Claude SDK query()),Yes (Runner.run)
Custom tools,Yes (@tool + MCP),Yes (--mcp-config),Yes (via z.ai: Claude @tool + MCP),Yes (@function_tool)
Web search,Yes (built-in WebSearch tool),Yes (built-in WebSearch tool),Yes (via z.ai: Claude WebSearch tool),Yes (WebSearchTool)
File tools,Yes (built-in Read/Write/Glob/Grep),Yes (built-in Read/Write/Glob/Grep),Yes (via z.ai: Claude Read/Write/Glob/Grep),Yes (FileSearchTool)
Code execution,Yes (built-in Bash tool),Yes (built-in Bash tool),Yes (via z.ai: Claude Bash tool),Yes (CodeInterpreterTool)
Structured output,Yes (output_format),Yes (--json-schema / --output-format),Yes (via z.ai: Claude output_format),Yes (output_type / Pydantic)
Multi-agent,Yes (subagents via TaskStartedMessage),Yes (--agent / Agent tool),Yes (via z.ai: Claude subagents),Yes (handoffs)
Guardrails,Yes (CanUseTool + hooks),Yes (hooks + permission modes),Yes (via z.ai: Claude hooks),Yes (Input/OutputGuardrail)
Hooks / lifecycle,Yes (PreToolUse / Stop / SubagentStart),Yes (PreToolUse / Stop / ...),Yes (via z.ai: Claude PreToolUse/Stop/...),Yes (RunHooks / AgentHooks)
Tracing dashboard,No (not in SDK),No (not available),No (not available via z.ai),Yes (OpenAI dashboard)
Permission system,Yes (PermissionMode),Yes (--permission-mode),Yes (via z.ai: Claude permission modes),No (not in SDK)
Plan mode,Yes (permission_mode=plan),Yes (--permission-mode plan),Yes (via z.ai: Claude permission_mode=plan),No (not in SDK)
TodoWrite / tasks,"Yes (leaks through, undocumented)",Yes,Yes (via z.ai: Claude TodoWrite),No (not in SDK)
MCP support,Yes (McpServerConfig),Yes (--mcp-config),Yes (via z.ai: Claude MCP servers),No (MCPServer*)
Streaming,Yes (StreamEvent async iter),Yes (--output-format stream-json),Yes (via z.ai: Claude stream-json),Yes (run_streamed)
Session resume,Yes (list_sessions / get_session_info),Yes (--resume / --continue),Yes (via z.ai: Claude --resume),Yes (previous_response)
